accession	version	length	taxid	organism	species	genus	family	collection_date	country	isolate	strain	host	genotype	submitter	seq_tech
PV419035	PV419035.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2009		PAP106122		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418949	PV418949.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP282534		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418775	PV418775.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP105068		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419059	PV419059.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP230864		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419054	PV419054.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2010		PAP241222		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418988	PV418988.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2011		PAP263502		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418840	PV418840.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP290131		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418745	PV418745.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP177003		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418934	PV418934.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP281165		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418828	PV418828.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2010		PAP270089		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418791	PV418791.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP131810		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418789	PV418789.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2007		PAP115205		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426498	PV426498.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2025-02-18		HPV16/Russia/SPE-RII-SS30/2025		Homo sapiens; 44 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418978	PV418978.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2010		PAP200272		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426494	PV426494.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-12-16		HPV16/Russia/SPE-RII-SS18/2024		Homo sapiens; 28 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418948	PV418948.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP298514		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419045	PV419045.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2008		PAP146281		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418743	PV418743.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2010		PAP236869		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419021	PV419021.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP214812		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426504	PV426504.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-07-09		HPV16/Russia/SPE-RII-CS1212/2024		Homo sapiens; 51 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418836	PV418836.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP252855		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418834	PV418834.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2009		PAP100004		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418753	PV418753.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2011		PAP112687		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418920	PV418920.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2007		PAP298751		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418829	PV418829.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2010		PAP197753		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418728	PV418728.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2007		PAP166680		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418880	PV418880.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP129333		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418879	PV418879.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2008		PAP218612		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418844	PV418844.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2007		PAP198470		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418781	PV418781.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2007		PAP261177		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419023	PV419023.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2009		PAP233393		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418735	PV418735.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2007		PAP107864		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419019	PV419019.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP102537		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426496	PV426496.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2025-02-03		HPV16/Russia/SPE-RII-SS23/2025		Homo sapiens; 36 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418850	PV418850.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP112869		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419013	PV419013.1	7858		human papillomavirus 45	human papillomavirus	human		Aug-2008		PAP216442		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418809	PV418809.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2007		PAP128588		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418895	PV418895.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2009		PAP230381		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418793	PV418793.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2010		PAP109074		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418805	PV418805.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2009		PAP112700		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426497	PV426497.1	7905		Human papillomavirus 16	Human papillomavirus	Human		2025-02-07		HPV16/Russia/SPE-RII-SS27/2025		Homo sapiens; 33 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418806	PV418806.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2008		PAP158300		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418846	PV418846.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2009		PAP238748		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418858	PV418858.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2010		PAP264730		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419006	PV419006.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP259562		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418777	PV418777.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2007		PAP114671		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418810	PV418810.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2011		PAP202213		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418963	PV418963.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2007		PAP185570		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418842	PV418842.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP237431		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418893	PV418893.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2010		PAP170339		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418960	PV418960.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2010		PAP241999		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418741	PV418741.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2008		PAP230222		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419055	PV419055.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP103680		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426495	PV426495.1	7895		Human papillomavirus 16	Human papillomavirus	Human		2025-02-24		HPV16/Russia/SPE-RII-SS22/2025		Homo sapiens; 40 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418831	PV418831.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2010		PAP222108		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418761	PV418761.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP290849		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418861	PV418861.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2007		PAP112579		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426493	PV426493.1	7903		Human papillomavirus 16	Human papillomavirus	Human		2024-12-02		HPV16/Russia/SPE-RII-SS16/2024		Homo sapiens; 48 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418725	PV418725.1	7858		human papillomavirus 45	human papillomavirus	human		Dec-2008		PAP226285		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418746	PV418746.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2008		PAP210188		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418926	PV418926.1	7858		human papillomavirus 45	human papillomavirus	human		Mar-2007		PAP160899		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418939	PV418939.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP163761		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV426506	PV426506.1	7906		Human papillomavirus 16	Human papillomavirus	Human		2024-08-14		HPV16/Russia/SPE-RII-CS1200/2024		Homo sapiens; 28 yo		Ivanova,A.A., Ershov,V.A., Yolshin,N.D., Perederiy,A.A. and Komissarov,A.B.	
PV418914	PV418914.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2008		PAP190588		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418874	PV418874.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2008		PAP148014		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418780	PV418780.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP122575		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418980	PV418980.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2008		PAP275347		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418956	PV418956.1	7858		human papillomavirus 45	human papillomavirus	human		Nov-2009		PAP172667		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419028	PV419028.1	7858		human papillomavirus 45	human papillomavirus	human		May-2008		PAP112331		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418875	PV418875.1	7858		human papillomavirus 45	human papillomavirus	human		Feb-2011		PAP145214		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418736	PV418736.1	7858		human papillomavirus 45	human papillomavirus	human		May-2009		PAP176023		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418862	PV418862.1	7858		human papillomavirus 45	human papillomavirus	human		Jul-2008		PAP267602		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418985	PV418985.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2007		PAP190406		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418821	PV418821.1	7858		human papillomavirus 45	human papillomavirus	human		Oct-2010		PAP290871		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418891	PV418891.1	7858		human papillomavirus 45	human papillomavirus	human		Apr-2008		PAP192460		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418906	PV418906.1	7858		human papillomavirus 45	human papillomavirus	human		Sep-2008		PAP261121		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV418734	PV418734.1	7858		human papillomavirus 45	human papillomavirus	human		Jun-2008		PAP197542		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
PV419012	PV419012.1	7858		human papillomavirus 45	human papillomavirus	human		Jan-2010		PAP135981		Homo sapiens	genotype: 45	Koestler,A.J., Nelson,C.W., Yeager,M., Chen,Z., Mishra,S.K., Burdett,L., Suh-Burgmann,E., Lorey,T., Clifford,G.M., Wentzensen,N., Castle,P.E., Schiffman,M., Burk,R.D. and Mirabello,L.	
